Designator,Mid X,Mid Y,Layer,Rotation
D1,99.06,-82.93,T,90.0
D2,101.6,-82.93,T,90.0
J1,90.17,-82.55,T,90.0
J2,109.22,-93.98,T,0.0
J3,109.22,-71.12,T,180.0
K1,113.03,-82.55,T,0.0
R1,96.1875,-82.55,T,180.0
